,County_name,State_name,Tot_Population_CEN_2010,state,county,tract
582,San Diego County,California,6061,06,073,020304
583,San Diego County,California,5984,06,073,020305
584,San Diego County,California,8694,06,073,020306
585,San Diego County,California,7170,06,073,020307
586,San Diego County,California,5743,06,073,020308
587,San Diego County,California,3945,06,073,020309
588,San Diego County,California,2369,06,073,020401
589,San Diego County,California,4107,06,073,020403
590,San Diego County,California,5070,06,073,020404
591,San Diego County,California,3412,06,073,020405
592,San Diego County,California,5196,06,073,020500
593,San Diego County,California,5560,06,073,020601
594,San Diego County,California,5859,06,073,020602
595,San Diego County,California,4635,06,073,020705
596,San Diego County,California,6286,06,073,020706
597,San Diego County,California,4734,06,073,020707
598,San Diego County,California,3437,06,073,020708
599,San Diego County,California,8007,06,073,020709
600,San Diego County,California,1749,06,073,020710
601,San Diego County,California,5230,06,073,020801
602,San Diego County,California,3501,06,073,020805
603,San Diego County,California,5846,06,073,020806
604,San Diego County,California,2599,06,073,020807
605,San Diego County,California,6778,06,073,020809
606,San Diego County,California,5266,06,073,020810
607,San Diego County,California,5650,06,073,020811
608,San Diego County,California,2122,06,073,020902
609,San Diego County,California,3192,06,073,020903
610,San Diego County,California,3075,06,073,020904
611,San Diego County,California,4440,06,073,021000
612,San Diego County,California,7589,06,073,021100
613,San Diego County,California,3156,06,073,021202
614,San Diego County,California,5239,06,073,021204
615,San Diego County,California,6801,06,073,021205
616,San Diego County,California,2995,06,073,021206
617,San Diego County,California,7361,06,073,021302
618,San Diego County,California,8981,06,073,021303
619,San Diego County,California,2616,06,073,021304
620,San Diego County,California,7225,06,073,021400
621,San Diego County,California,8846,06,073,021500
622,San Diego County,California,3391,06,073,021600
623,San Diego County,California,2022,06,073,021800
624,San Diego County,California,6816,06,073,021900
625,San Diego County,California,4186,06,073,022000
626,San Diego County,California,9082,06,073,022100
627,San Diego County,California,0,06,073,990100
